id;name;description;price;address;category
1;Salad Granite application;Fresh Wooden partnerships;95208;copying core invoice;port Universal
2;synergize Officer;Advanced Plaza parsing;3541;Baby Analyst Cheese;Manager Accounts
3;Light functionalities Organic;azure Decentralized;25224;Consultant indexing;Tasty e-markets FTP
4;deposit Generic reinvent;harness;54365;connect;Ball Corners
5;Organized Mouse back;Account Dirham;36081;Engineer Cotton;communities compressing
6;Mount;index Cambridgeshire Kuna;18251;Czech;grow
7;panel;index;70028;Tactics;port Profit-focused Danish
8;Pine Bedfordshire Coordinator;Grocery Concrete area;91414;SCSI revolutionize Plains;Courts interface Berkshire
9;e-business;Computer gold;39719;definition Gloves Avon;SQL cyan
10;Visionary niches Engineer;Home;67970;Chicken Alabama;UIC-Franc Persevering
